datetime,symbol,open,high,low,close,volume
2017-12-18 07:00:00,CME:BTC1!,20650.0,20650.0,18345.0,19100.0,1054.0
2017-12-19 07:00:00,CME:BTC1!,19135.0,19725.0,17180.0,18200.0,559.0
2017-12-20 07:00:00,CME:BTC1!,17745.0,18350.0,16435.0,17040.0,784.0
2017-12-21 07:00:00,CME:BTC1!,16400.0,17270.0,15080.0,15330.0,879.0
2017-12-22 07:00:00,CME:BTC1!,15595.0,15825.0,12265.0,14135.0,2374.0
2017-12-25 07:00:00,CME:BTC1!,13900.0,16100.0,13700.0,15785.0,406.0
2017-12-27 07:00:00,CME:BTC1!,15655.0,16545.0,14460.0,14690.0,507.0
2017-12-28 07:00:00,CME:BTC1!,15150.0,15280.0,13360.0,13745.0,746.0
2017-12-29 07:00:00,CME:BTC1!,13965.0,15005.0,13835.0,14470.0,1078.0
2018-01-01 07:00:00,CME:BTC1!,13955.0,15245.0,13080.0,14855.0,734.0
2018-01-03 07:00:00,CME:BTC1!,14900.0,15450.0,14650.0,14975.0,719.0
2018-01-04 07:00:00,CME:BTC1!,14925.0,15470.0,14205.0,14900.0,760.0
2018-01-05 07:00:00,CME:BTC1!,15085.0,16845.0,14870.0,16590.0,814.0
2018-01-08 07:00:00,CME:BTC1!,16425.0,16455.0,13870.0,14905.0,958.0
2018-01-09 07:00:00,CME:BTC1!,14675.0,15365.0,14185.0,14750.0,863.0
2018-01-10 07:00:00,CME:BTC1!,14405.0,14720.0,13480.0,14450.0,887.0
2018-01-11 07:00:00,CME:BTC1!,14500.0,14910.0,12820.0,13385.0,1298.0
2018-01-12 07:00:00,CME:BTC1!,13000.0,14080.0,12850.0,13945.0,787.0
2018-01-15 07:00:00,CME:BTC1!,13600.0,14280.0,11160.0,11160.0,2552.0
2018-01-17 07:00:00,CME:BTC1!,11190.0,11800.0,9225.0,10945.0,2657.0
2018-01-18 07:00:00,CME:BTC1!,11125.0,12075.0,10645.0,11815.0,1708.0
2018-01-19 07:00:00,CME:BTC1!,11335.0,12030.0,10990.0,11360.0,979.0
2018-01-22 07:00:00,CME:BTC1!,11300.0,11830.0,9955.0,10355.0,1137.0
2018-01-23 07:00:00,CME:BTC1!,10625.0,11350.0,9865.0,11095.0,1241.0
2018-01-24 07:00:00,CME:BTC1!,10920.0,11450.0,10490.0,11155.0,232.0
2018-01-25 07:00:00,CME:BTC1!,11450.0,11660.0,10830.0,11200.0,380.0
2018-01-26 07:00:00,CME:BTC1!,11060.0,11620.0,10250.0,10965.0,573.0
2018-01-29 07:00:00,CME:BTC1!,11510.0,11775.0,10970.0,11170.0,463.0
2018-01-30 07:00:00,CME:BTC1!,11120.0,11245.0,9720.0,9940.0,1137.0
2018-01-31 07:00:00,CME:BTC1!,10000.0,10275.0,9500.0,10000.0,842.0
2018-02-01 07:00:00,CME:BTC1!,10020.0,10175.0,8480.0,9090.0,1485.0
2018-02-02 07:00:00,CME:BTC1!,8890.0,9075.0,7750.0,8585.0,2535.0
2018-02-05 07:00:00,CME:BTC1!,8305.0,8315.0,6870.0,7260.0,2186.0
2018-02-06 07:00:00,CME:BTC1!,6850.0,7920.0,5970.0,7550.0,2234.0
2018-02-07 07:00:00,CME:BTC1!,7620.0,8540.0,7235.0,8245.0,1379.0
2018-02-08 07:00:00,CME:BTC1!,7790.0,8690.0,7645.0,8325.0,906.0
2018-02-09 07:00:00,CME:BTC1!,8165.0,8770.0,7715.0,8610.0,764.0
2018-02-12 07:00:00,CME:BTC1!,8380.0,8920.0,8075.0,8860.0,679.0
2018-02-13 07:00:00,CME:BTC1!,8925.0,9000.0,8335.0,8700.0,550.0
2018-02-14 07:00:00,CME:BTC1!,8505.0,9390.0,8505.0,9290.0,944.0
2018-02-15 07:00:00,CME:BTC1!,9400.0,10180.0,9375.0,10090.0,1783.0
2018-02-16 07:00:00,CME:BTC1!,10090.0,10265.0,9675.0,10020.0,1101.0
2018-02-19 07:00:00,CME:BTC1!,10350.0,11760.0,10315.0,11735.0,2080.0
2018-02-21 07:00:00,CME:BTC1!,11220.0,11280.0,10260.0,10370.0,623.0
2018-02-22 07:00:00,CME:BTC1!,10500.0,10865.0,9760.0,10095.0,530.0
2018-02-23 07:00:00,CME:BTC1!,9880.0,10340.0,9530.0,9950.0,0.0
2018-02-26 07:00:00,CME:BTC1!,9680.0,10390.0,9270.0,10250.0,745.0
2018-02-27 07:00:00,CME:BTC1!,10285.0,10875.0,10100.0,10660.0,761.0
2018-02-28 07:00:00,CME:BTC1!,10665.0,11005.0,10330.0,10645.0,1130.0
2018-03-01 07:00:00,CME:BTC1!,10450.0,11100.0,10220.0,11065.0,1345.0
2018-03-02 07:00:00,CME:BTC1!,11035.0,11215.0,10760.0,11060.0,748.0
2018-03-05 07:00:00,CME:BTC1!,11350.0,11700.0,11340.0,11615.0,990.0
2018-03-06 07:00:00,CME:BTC1!,11595.0,11655.0,10570.0,10650.0,1580.0
2018-03-07 07:00:00,CME:BTC1!,10735.0,10880.0,9385.0,9790.0,1888.0
2018-03-08 07:00:00,CME:BTC1!,9970.0,10100.0,9105.0,9400.0,2524.0
2018-03-09 07:00:00,CME:BTC1!,9350.0,9445.0,8390.0,9015.0,2742.0
2018-03-12 06:00:00,CME:BTC1!,9490.0,9940.0,8735.0,8910.0,2732.0
2018-03-13 06:00:00,CME:BTC1!,9165.0,9515.0,8825.0,9070.0,3375.0
2018-03-14 06:00:00,CME:BTC1!,8905.0,9395.0,8185.0,8275.0,2638.0
2018-03-15 06:00:00,CME:BTC1!,8005.0,8450.0,7700.0,8235.0,3093.0
2018-03-16 06:00:00,CME:BTC1!,8340.0,8640.0,7885.0,8555.0,3065.0
2018-03-19 06:00:00,CME:BTC1!,8275.0,8720.0,8100.0,8400.0,2746.0
2018-03-20 06:00:00,CME:BTC1!,8420.0,9025.0,8320.0,8945.0,2050.0
2018-03-21 06:00:00,CME:BTC1!,8990.0,9185.0,8775.0,8890.0,1829.0
2018-03-22 06:00:00,CME:BTC1!,8905.0,9095.0,8500.0,8630.0,2123.0
2018-03-23 06:00:00,CME:BTC1!,8650.0,8770.0,8270.0,8615.0,2895.0
2018-03-26 06:00:00,CME:BTC1!,8650.0,8650.0,7840.0,7910.0,2433.0
2018-03-27 06:00:00,CME:BTC1!,8220.0,8235.0,7790.0,7915.0,626.0
2018-03-28 06:00:00,CME:BTC1!,7920.0,8090.0,7745.0,7900.0,493.0
2018-03-29 06:00:00,CME:BTC1!,7895.0,8010.0,7070.0,7335.0,1684.0
2018-04-02 06:00:00,CME:BTC1!,6905.0,7150.0,6775.0,6990.0,3539.0
2018-04-03 06:00:00,CME:BTC1!,6975.0,7520.0,6965.0,7460.0,2274.0
2018-04-04 06:00:00,CME:BTC1!,7430.0,7440.0,6725.0,6860.0,2951.0
2018-04-05 06:00:00,CME:BTC1!,6790.0,6925.0,6550.0,6760.0,4565.0
2018-04-06 06:00:00,CME:BTC1!,6760.0,6890.0,6485.0,6630.0,2415.0
2018-04-09 06:00:00,CME:BTC1!,7025.0,7225.0,6605.0,6675.0,3348.0
2018-04-10 06:00:00,CME:BTC1!,6705.0,6880.0,6640.0,6840.0,1882.0
2018-04-11 06:00:00,CME:BTC1!,6860.0,6970.0,6785.0,6920.0,1746.0
